V: 2
L: 1
X: 880
Y: 708
W: 11
H: 9
0;0;0;6
0;1;0;6
0;2;2;6
0;3;2;6
0;4;0;6
0;5;0;6
0;6;0;6
0;7;0;6
0;8;0;6
1;0;0;6
1;1;0;6
1;2;2;6
1;3;2;6
1;4;8706;6
1;5;7682;6
1;6;2;6
1;7;0;6
1;8;0;6
2;0;0;6
2;1;2;6
2;2;2;6
2;3;6658;6
2;4;16;6
2;5;16;6
2;6;2562;6
2;7;0;6
2;8;0;6
3;0;0;6
3;1;2;6
3;2;2;6
3;3;5634;6
3;4;16;6
3;5;16;6
3;6;1538;6
3;7;2;6
3;8;2;6
4;0;0;6
4;1;2;6
4;2;2;6
4;3;2;6
4;4;4610;6
4;5;3586;6
4;6;2;6
4;7;2;6
4;8;2;6
5;0;0;6
5;1;2;6
5;2;2;6
5;3;2;6
5;4;2;6
5;5;6;6
5;6;4166;6
5;7;10310;6
5;8;3142;6
6;0;0;6
6;1;2;6
6;2;2;6
6;3;2;6
6;4;2;6
6;5;26694;6
6;6;12358;6
6;7;12358;6
6;8;7238;6
7;0;34;6
7;1;2;6
7;2;2;6
7;3;2;6
7;4;2;6
7;5;2;6
7;6;2;6
7;7;2;6
7;8;2;6
8;0;2;6
8;1;2;6
8;2;2;6
8;3;2;6
8;4;2;6
8;5;0;6
8;6;0;6
8;7;0;6
8;8;0;6
9;0;2;6
9;1;2;6
9;2;2;6
9;3;2;6
9;4;0;6
9;5;0;6
9;6;0;6
9;7;0;6
9;8;0;6
10;0;2;6
10;1;2;6
10;2;2;6
10;3;2;6
10;4;0;6
10;5;0;6
10;6;0;6
10;7;0;6
10;8;0;6
