L: 3
X: 749
Y: 614
W: 8
H: 14
0;0;0;0;0
1;0;2;0;0
2;0;2;0;0
3;0;2;0;0
4;0;2;0;0
5;0;2;0;0
6;0;2;0;0
7;0;2;0;0
0;1;0;0;0
1;1;2;0;0
2;1;2;0;0
3;1;2;0;0
4;1;2;0;0
5;1;2;0;0
6;1;2;0;0
7;1;2;0;0
0;2;0;0;0
1;2;2;0;0
2;2;2;0;0
3;2;2;0;0
4;2;2;0;0
5;2;2;0;0
6;2;2;0;0
7;2;2;0;0
0;3;2;0;0
1;3;2;0;0
2;3;2;0;0
3;3;2;0;0
4;3;2;0;0
5;3;2;0;0
6;3;2;0;0
7;3;2;0;0
0;4;2;0;0
1;4;2;0;0
2;4;2;0;0
3;4;2;0;0
4;4;2;0;0
5;4;0;0;0
6;4;0;0;0
7;4;0;0;0
0;5;0;0;0
1;5;2;0;0
2;5;2;0;0
3;5;2;0;0
4;5;2;0;0
5;5;0;0;0
6;5;0;0;0
7;5;0;0;0
0;6;0;0;0
1;6;2;0;0
2;6;2;0;0
3;6;2;0;0
4;6;2;0;0
5;6;0;0;0
6;6;0;0;0
7;6;0;0;0
0;7;2;0;0
1;7;2;0;0
2;7;2;0;0
3;7;2;0;0
4;7;0;0;0
5;7;0;0;0
6;7;0;0;0
7;7;0;0;0
0;8;2;0;0
1;8;2;0;0
2;8;2;0;0
3;8;2;0;0
4;8;0;0;0
5;8;0;0;0
6;8;0;0;0
7;8;0;0;0
0;9;0;0;0
1;9;2;0;0
2;9;2;0;0
3;9;2;0;0
4;9;0;0;0
5;9;0;0;0
6;9;0;0;0
7;9;0;0;0
0;10;2;0;0
1;10;2;0;0
2;10;2;0;0
3;10;0;0;0
4;10;0;0;0
5;10;0;0;0
6;10;0;0;0
7;10;0;0;0
0;11;2;0;0
1;11;2;0;0
2;11;2;0;0
3;11;0;0;0
4;11;0;0;0
5;11;0;0;0
6;11;0;0;0
7;11;0;0;0
0;12;2;0;0
1;12;2;0;0
2;12;2;0;0
3;12;0;0;0
4;12;0;0;0
5;12;0;0;0
6;12;0;0;0
7;12;0;0;0
0;13;2;0;0
1;13;2;0;0
2;13;2;0;0
3;13;0;0;0
4;13;0;0;0
5;13;0;0;0
6;13;0;0;0
7;13;0;0;0
