V: 2
L: 1
X: 471
Y: 790
W: 6
H: 12
0;0;43;2
0;1;43;2
0;2;43;2
0;3;43;2
0;4;43;2
0;5;43;2
0;6;43;2
0;7;43;2
0;8;43;2
0;9;43;2
0;10;43;2
0;11;43;2
1;0;43;2
1;1;43;2
1;2;43;2
1;3;43;2
1;4;43;2
1;5;43;2
1;6;43;2
1;7;43;2
1;8;43;2
1;9;43;2
1;10;43;2
1;11;43;2
2;0;43;2
2;1;43;2
2;2;43;2
2;3;43;2
2;4;43;2
2;5;43;2
2;6;43;2
2;7;43;2
2;8;43;2
2;9;43;2
2;10;43;2
2;11;43;2
3;0;43;2
3;1;43;2
3;2;43;2
3;3;43;2
3;4;43;2
3;5;43;2
3;6;43;2
3;7;43;2
3;8;43;2
3;9;43;2
3;10;43;2
3;11;43;2
4;0;43;2
4;1;43;2
4;2;43;2
4;3;43;2
4;4;43;2
4;5;43;2
4;6;43;2
4;7;43;2
4;8;43;2
4;9;43;2
4;10;43;2
4;11;43;2
5;0;43;2
5;1;43;2
5;2;43;2
5;3;43;2
5;4;43;2
5;5;43;2
5;6;43;2
5;7;43;2
5;8;43;2
5;9;43;2
5;10;43;2
5;11;43;2
